wrong_url(new links here → 404),correct_url(should link here → 200),kind,linked_from_pages
/job-relocation-moving-services,/blog/job-relocation-moving-services,blog-missing-/blog/-prefix,83
/retirement-moving-to-smaller-home,/blog/retirement-moving-to-smaller-home,blog-missing-/blog/-prefix,83
/small-storage-units-near-me-vs-consolidation-services,/blog/small-storage-units-near-me-vs-consolidation-services,blog-missing-/blog/-prefix,83
/moving-company-deposit-scam-warning-signs,/blog/moving-company-deposit-scam-warning-signs,blog-missing-/blog/-prefix,82
/manhattan-beach-moving-family-community,/blog/manhattan-beach-moving-family-community,blog-missing-/blog/-prefix,80
/hermosa-beach-movers-beach-town-vibes,/blog/hermosa-beach-movers-beach-town-vibes,blog-missing-/blog/-prefix,80
/dallas-to-los-angeles-moving,/blog/dallas-to-los-angeles-moving,blog-missing-/blog/-prefix,75
/la-to-portland-moving-tax-implications,/blog/la-to-portland-moving-tax-implications,blog-missing-/blog/-prefix,75
/storage-lockers-near-me-for-small-apartment-moves,/blog/storage-lockers-near-me-for-small-apartment-moves,blog-missing-/blog/-prefix,74
/hourly-vs-flat-rate-moving-cost-comparison,/blog/hourly-vs-flat-rate-moving-cost-comparison,blog-missing-/blog/-prefix,74
/austin-to-los-angeles-relocation,/blog/austin-to-los-angeles-relocation,blog-missing-/blog/-prefix,73
/how-to-move-a-gun-safe-weight-and-permit-requirements,/blog/how-to-move-a-gun-safe-weight-and-permit-requirements,blog-missing-/blog/-prefix,69
/hoarding-cleanup-and-moving-services,/blog/hoarding-cleanup-and-moving-services,blog-missing-/blog/-prefix,69
/two-men-and-a-truck-alternative-in-los-angeles,/blog/two-men-and-a-truck-alternative-in-los-angeles,blog-missing-/blog/-prefix,68
/moving-costs-calculator-accurate-estimates,/blog/moving-costs-calculator-accurate-estimates,blog-missing-/blog/-prefix,63
/plastic-bins-vs-cardboard-boxes-for-moving,/blog/plastic-bins-vs-cardboard-boxes-for-moving,blog-missing-/blog/-prefix,60
/professional-movers-vs-taskrabbit-for-moving,/blog/professional-movers-vs-taskrabbit-for-moving,blog-missing-/blog/-prefix,59
/tax-season-moving-april-considerations,/blog/tax-season-moving-april-considerations,blog-missing-/blog/-prefix,59
/how-to-pack-books-without-breaking-boxes,/blog/how-to-pack-books-without-breaking-boxes,blog-missing-/blog/-prefix,56
